N,CPU,Compilation Parameter,t(s)
294,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
295,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
296,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
297,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
298,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
299,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
300,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
301,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
302,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
303,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
304,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
305,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
306,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
307,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
308,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
309,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
310,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
311,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
312,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
313,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
314,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
315,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
316,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
317,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
318,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
319,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
320,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
321,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
322,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
323,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
324,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
325,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
326,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
327,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
328,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
329,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
330,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
331,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
332,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
333,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
334,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
335,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
336,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
337,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
338,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
339,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
340,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
341,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
342,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
343,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
344,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
345,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
346,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
347,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
348,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
349,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
350,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
351,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
352,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
353,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
354,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
355,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
356,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
357,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
358,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
359,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
360,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
361,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
362,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
363,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
364,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
365,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
366,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
367,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
368,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
369,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
370,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
371,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
372,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
373,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
374,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
375,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
376,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
377,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
378,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
379,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
380,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
381,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
382,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
383,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
384,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
385,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
386,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
387,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
388,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
