N,CPU,Compilation Parameter,t(s)
352,2.7 GHz Intel Core i5 Dual-Core,O3,0.066955
353,2.7 GHz Intel Core i5 Dual-Core,O3,0.066725
354,2.7 GHz Intel Core i5 Dual-Core,O3,0.066950
355,2.7 GHz Intel Core i5 Dual-Core,O3,0.067526
356,2.7 GHz Intel Core i5 Dual-Core,O3,0.067607
357,2.7 GHz Intel Core i5 Dual-Core,O3,0.070095
358,2.7 GHz Intel Core i5 Dual-Core,O3,0.071607
359,2.7 GHz Intel Core i5 Dual-Core,O3,0.068602
360,2.7 GHz Intel Core i5 Dual-Core,O3,0.074570
361,2.7 GHz Intel Core i5 Dual-Core,O3,0.081115
362,2.7 GHz Intel Core i5 Dual-Core,O3,0.080127
363,2.7 GHz Intel Core i5 Dual-Core,O3,0.079062
364,2.7 GHz Intel Core i5 Dual-Core,O3,0.082131
365,2.7 GHz Intel Core i5 Dual-Core,O3,0.071213
366,2.7 GHz Intel Core i5 Dual-Core,O3,0.071744
367,2.7 GHz Intel Core i5 Dual-Core,O3,0.082051
368,2.7 GHz Intel Core i5 Dual-Core,O3,0.076324
369,2.7 GHz Intel Core i5 Dual-Core,O3,0.077453
370,2.7 GHz Intel Core i5 Dual-Core,O3,0.086573
371,2.7 GHz Intel Core i5 Dual-Core,O3,0.085552
372,2.7 GHz Intel Core i5 Dual-Core,O3,0.077499
373,2.7 GHz Intel Core i5 Dual-Core,O3,0.080104
374,2.7 GHz Intel Core i5 Dual-Core,O3,0.077174
375,2.7 GHz Intel Core i5 Dual-Core,O3,0.076527
376,2.7 GHz Intel Core i5 Dual-Core,O3,0.077135
377,2.7 GHz Intel Core i5 Dual-Core,O3,0.078311
378,2.7 GHz Intel Core i5 Dual-Core,O3,0.079806
379,2.7 GHz Intel Core i5 Dual-Core,O3,0.077690
380,2.7 GHz Intel Core i5 Dual-Core,O3,0.078683
381,2.7 GHz Intel Core i5 Dual-Core,O3,0.077978
382,2.7 GHz Intel Core i5 Dual-Core,O3,0.077844
383,2.7 GHz Intel Core i5 Dual-Core,O3,0.077755
384,2.7 GHz Intel Core i5 Dual-Core,O3,0.080959
385,2.7 GHz Intel Core i5 Dual-Core,O3,0.086905
386,2.7 GHz Intel Core i5 Dual-Core,O3,0.081442
387,2.7 GHz Intel Core i5 Dual-Core,O3,0.084317
388,2.7 GHz Intel Core i5 Dual-Core,O3,0.082212
389,2.7 GHz Intel Core i5 Dual-Core,O3,0.091996
390,2.7 GHz Intel Core i5 Dual-Core,O3,0.093973
391,2.7 GHz Intel Core i5 Dual-Core,O3,0.106188
392,2.7 GHz Intel Core i5 Dual-Core,O3,0.093312
393,2.7 GHz Intel Core i5 Dual-Core,O3,0.090199
394,2.7 GHz Intel Core i5 Dual-Core,O3,0.090120
395,2.7 GHz Intel Core i5 Dual-Core,O3,0.083502
396,2.7 GHz Intel Core i5 Dual-Core,O3,0.084816
397,2.7 GHz Intel Core i5 Dual-Core,O3,0.085029
398,2.7 GHz Intel Core i5 Dual-Core,O3,0.084937
399,2.7 GHz Intel Core i5 Dual-Core,O3,0.085998
400,2.7 GHz Intel Core i5 Dual-Core,O3,0.086506
401,2.7 GHz Intel Core i5 Dual-Core,O3,0.086280
402,2.7 GHz Intel Core i5 Dual-Core,O3,0.087046
403,2.7 GHz Intel Core i5 Dual-Core,O3,0.087018
404,2.7 GHz Intel Core i5 Dual-Core,O3,0.088009
405,2.7 GHz Intel Core i5 Dual-Core,O3,0.088369
406,2.7 GHz Intel Core i5 Dual-Core,O3,0.088129
407,2.7 GHz Intel Core i5 Dual-Core,O3,0.089649
408,2.7 GHz Intel Core i5 Dual-Core,O3,0.089383
409,2.7 GHz Intel Core i5 Dual-Core,O3,0.089488
410,2.7 GHz Intel Core i5 Dual-Core,O3,0.089760
411,2.7 GHz Intel Core i5 Dual-Core,O3,0.090274
412,2.7 GHz Intel Core i5 Dual-Core,O3,0.090627
413,2.7 GHz Intel Core i5 Dual-Core,O3,0.090807
414,2.7 GHz Intel Core i5 Dual-Core,O3,0.091196
415,2.7 GHz Intel Core i5 Dual-Core,O3,0.091427
416,2.7 GHz Intel Core i5 Dual-Core,O3,0.091810
417,2.7 GHz Intel Core i5 Dual-Core,O3,0.092181
418,2.7 GHz Intel Core i5 Dual-Core,O3,0.092792
419,2.7 GHz Intel Core i5 Dual-Core,O3,0.095107
420,2.7 GHz Intel Core i5 Dual-Core,O3,0.095149
421,2.7 GHz Intel Core i5 Dual-Core,O3,0.095978
422,2.7 GHz Intel Core i5 Dual-Core,O3,0.095565
423,2.7 GHz Intel Core i5 Dual-Core,O3,0.110951
424,2.7 GHz Intel Core i5 Dual-Core,O3,0.113829
425,2.7 GHz Intel Core i5 Dual-Core,O3,0.108050
426,2.7 GHz Intel Core i5 Dual-Core,O3,0.102380
427,2.7 GHz Intel Core i5 Dual-Core,O3,0.097489
428,2.7 GHz Intel Core i5 Dual-Core,O3,0.103582
429,2.7 GHz Intel Core i5 Dual-Core,O3,0.107853
430,2.7 GHz Intel Core i5 Dual-Core,O3,0.103428
431,2.7 GHz Intel Core i5 Dual-Core,O3,0.113700
432,2.7 GHz Intel Core i5 Dual-Core,O3,0.102021
433,2.7 GHz Intel Core i5 Dual-Core,O3,0.116773
434,2.7 GHz Intel Core i5 Dual-Core,O3,0.114798
