N,CPU,Compilation Parameter,t(s)
304,2.7 GHz Intel Core i5 Dual-Core,O3,0.028955
305,2.7 GHz Intel Core i5 Dual-Core,O3,0.028436
306,2.7 GHz Intel Core i5 Dual-Core,O3,0.028069
307,2.7 GHz Intel Core i5 Dual-Core,O3,0.028340
308,2.7 GHz Intel Core i5 Dual-Core,O3,0.028786
309,2.7 GHz Intel Core i5 Dual-Core,O3,0.029401
310,2.7 GHz Intel Core i5 Dual-Core,O3,0.036057
311,2.7 GHz Intel Core i5 Dual-Core,O3,0.029949
312,2.7 GHz Intel Core i5 Dual-Core,O3,0.029879
313,2.7 GHz Intel Core i5 Dual-Core,O3,0.030378
314,2.7 GHz Intel Core i5 Dual-Core,O3,0.030725
315,2.7 GHz Intel Core i5 Dual-Core,O3,0.030596
316,2.7 GHz Intel Core i5 Dual-Core,O3,0.030871
317,2.7 GHz Intel Core i5 Dual-Core,O3,0.031261
318,2.7 GHz Intel Core i5 Dual-Core,O3,0.031433
319,2.7 GHz Intel Core i5 Dual-Core,O3,0.031865
320,2.7 GHz Intel Core i5 Dual-Core,O3,0.037725
321,2.7 GHz Intel Core i5 Dual-Core,O3,0.032359
322,2.7 GHz Intel Core i5 Dual-Core,O3,0.032755
323,2.7 GHz Intel Core i5 Dual-Core,O3,0.033095
324,2.7 GHz Intel Core i5 Dual-Core,O3,0.033483
325,2.7 GHz Intel Core i5 Dual-Core,O3,0.043311
326,2.7 GHz Intel Core i5 Dual-Core,O3,0.034381
327,2.7 GHz Intel Core i5 Dual-Core,O3,0.034823
328,2.7 GHz Intel Core i5 Dual-Core,O3,0.035036
329,2.7 GHz Intel Core i5 Dual-Core,O3,0.036490
330,2.7 GHz Intel Core i5 Dual-Core,O3,0.036855
331,2.7 GHz Intel Core i5 Dual-Core,O3,0.036496
332,2.7 GHz Intel Core i5 Dual-Core,O3,0.036334
333,2.7 GHz Intel Core i5 Dual-Core,O3,0.036857
334,2.7 GHz Intel Core i5 Dual-Core,O3,0.036996
335,2.7 GHz Intel Core i5 Dual-Core,O3,0.037261
336,2.7 GHz Intel Core i5 Dual-Core,O3,0.044526
337,2.7 GHz Intel Core i5 Dual-Core,O3,0.038944
338,2.7 GHz Intel Core i5 Dual-Core,O3,0.053132
339,2.7 GHz Intel Core i5 Dual-Core,O3,0.040074
